T_C,phi_A,phi_B,phi_p_a,phi_p_b,psi1_a,psi1_b,psi2_a,psi2_b,muE_a,muE_b,muL_a,muL_b,muF_a,muF_b
15.0,0.3965624999999964,1.6007820321023698,0.38210714778242016,1.5526142997912342,0.7739217663679236,4.6205,0.019184375000000017,0.02947509030527634,0.21781746896101012,18.424387780548614,0.019121250000000867,0.02841385700550255,0.037830624999999896,0.03102363047771257
15.408163265306122,0.49877531359060967,1.9210370853583765,0.48105625725532114,1.8733854631585314,0.7411704030509931,4.81906797762837,0.022695750177299065,0.032269829930403005,0.1932285012743036,16.749978401248782,0.016216054243894273,0.027867926664766673,0.03683364693432145,0.025436101185233186
15.816326530612244,0.61463120349904,2.259002717548746,0.5932079358201063,2.2114692572449948,0.7119200420698806,5.0144182483489015,0.026498246377092707,0.035072853109227364,0.17181612238993704,15.213051743656196,0.014283124999675323,0.02725624857997637,0.03611426345690427,0.021494063346359938
16.224489795918366,0.7444112687606212,2.6120289254360434,0.7188000776379058,2.564317805911707,0.6860703588857027,5.206265216873922,0.030576936517768175,0.03787514148042065,0.15315802591165856,13.80531231410029,0.013219027147901574,0.026599152533606257,0.035630479071285026,0.018605774765648876
16.632653061224488,0.888295692524772,2.9782672536705737,0.8579725111983554,2.9301333216980354,0.6634674605983494,5.39432328791575,0.03491333008417852,0.04067011217235739,0.13687550746314583,12.516268115292096,0.012924851130378112,0.025915056693191246,0.035342835499546865,0.016427215654693874
17.040816326530614,1.046363742055017,3.35675422180971,1.010770068738304,3.3079728787871643,0.6439372628719436,5.5783068661867095,0.03948549874535294,0.04345333012172631,0.12263678067690653,11.334856339344784,0.013306212950152663,0.02522040028903136,0.03521441168231543,0.014746597027854401
17.448979591836736,1.2185937687289625,3.747433970386303,1.1771455057635614,3.697782231518277,0.6273050353118751,5.75793035639912,0.04426824421463199,0.04622223075003623,0.11015526574605634,10.25033242369849,0.01427325417152403,0.02452970683437143,0.03521082377876095,0.013427437247336063
17.857142857142858,1.4048632080383108,4.151132613936463,1.3569621389894362,4.100376297509614,0.6134057483376639,5.9329081632653065,0.04923330509912682,0.048975852998014546,0.099185526134188,9.252715775693362,0.015740641920034104,0.023855723995665115,0.03530022516659714,0.012378453279440588
18.26530612244898,1.6049485795888616,4.56949613551615,1.5499960931156032,4.517380480936805,0.6020882041599602,6.102954691497592,0.05434959948544678,0.05171458271790674,0.08951836042784837,8.332976838294261,0.017627568882474076,0.023209606847649084,0.035453306442082666,0.011536698048630415
18.6734693877551,1.8185254871004979,5.004902019256864,1.7559380678102774,4.951144183246691,0.5932147036542617,6.2677843458082965,0.05958350000862332,0.054439906423679296,0.08097585157107831,7.4830786488679255,0.01985775330688,0.022601123866471506,0.03564329542001987,0.010857659163325359
19.081632653061224,2.0451686184072138,5.46035260836634,1.9743945557950662,5.404635090726808,0.5866570819304746,6.427111530909741,0.06489913815113574,0.057154175399104,0.07340676560428669,6.695940740775304,0.022359439002535453,0.02203887287379376,0.03584595713375416,0.010309209910421382
19.48979591836735,2.2843517454570383,5.939355739275936,2.2048884608752264,5.881320121592675,0.5822892273709239,6.580650651514253,0.07025873451897963,0.05986038016375589,0.06668246172040453,5.9653652355172735,0.025065395339969765,0.021530499122194485,0.0360395938351773,0.009867787585679919
19.89795918367347,2.535447724312162,6.445795816818281,2.446859081182213,6.385036388618829,0.5799755958409599,6.728116112334149,0.07562295184170867,0.06256193529689541,0.06069335165514303,5.285947959218166,0.027912917250960678,0.021082910912701078,0.0362050449947231,0.00951590946415815
20.306122448979593,2.7977284951488333,6.983796378167244,2.699661437934845,6.919853338603631,0.5795546981220085,6.869222318081752,0.08095126744335521,0.06526247461926454,0.05534588410265629,4.652987223699133,0.030843825228530353,0.020702490221958372,0.03632568730136998,0.00924051947848298
20.714285714285715,3.0703650822573874,7.557573506483354,2.962564943926435,7.489925497831331,0.5808160927275018,7.003683673469389,0.08620236193116199,0.06796565673275351,0.05056000203503478,4.062396890000434,0.03380446532694892,0.020395297193205875,0.036387434662640494,0.009031866695017
21.122448979591837,3.3524275940422648,8.17127830895617,3.234751419013028,8.09933407796695,0.583469187152878,7.131214583209378,0.0913345208490698,0.07067498091799879,0.046267011704240926,3.5106268337809556,0.036745709161731366,0.02016726826148428,0.036378738204601024,0.008882734098465551
21.53061224489796,3.6428852230220006,8.828826131413546,3.5153124724673668,8.751915134591135,0.5871024608590463,7.251529452014044,0.0963060460428522,0.07339361338984107,0.04240780263766055,2.9945919471943636,0.0396229539096411,0.02002440829574799,0.03629058627186321,0.008787904777370098
21.93877551020408,3.9406062458292013,9.533710263653944,3.803246284553927,9.451072037066348,0.5911332066483816,7.364342684595705,0.10107567348386062,0.07612422391071882,0.038931362996636895,2.5116097262444494,0.04239612230869039,0.01997297754860737,0.03611650442758141,0.008743793959404495
22.346938775510203,4.2443580232106,10.288798579100977,4.097453832464211,10.199570683716852,0.5947515857080152,7.469368685666687,0.1056029942982491,0.07886883276192391,0.03579354145963987,2.059345935034102,0.045029662658130576,0.020019674473341825,0.03585255545345345,0.00874820109110804
22.755102040816325,4.552807000026963,11.096112798890616,4.396734619217907,10.999317127931473,0.5968700365548185,7.566321859939311,0.10984887574869409,0.08162866807278063,0.0329560138553955,1.6357675856586908,0.047492548818468094,0.020171815641827656,0.03549733934972377,0.008800152757969089
23.163265306122447,4.864518705253216,11.956591794995752,4.6997819786604245,11.851118987808096,0.5961006961632839,7.6549166121259,0.11377587891541806,0.08440403350770787,0.030385419393073262,1.2391023915203707,0.04975828021145201,0.020437514107610036,0.03505199333517739,0.008899818430323971
23.57142857142857,5.177957751978315,12.869842446140071,5.0051780456145725,12.754434088980078,0.5907976562189855,7.734867346938778,0.11734866982355673,0.08719418631118014,0.028052637216039907,0.8678038636176719,0.051804881820077586,0.020825857630454317,0.03452019184714694,0.009048489047405598
23.979591836734695,5.491487837405387,13.833883911237496,5.311388497880386,13.707112111882815,0.579209474000281,7.805888469090261,0.12053442076370478,0.08999722571059726,0.025932179061846843,0.5205212776750621,0.053614904188584056,0.021347088233103592,0.033908146541506756,0.009248614757063508
24.387755102040817,5.803371742851551,14.844893649830476,5.616757196360907,14.70513743923764,0.5597735510944728,7.867694383292678,0.12330319855263447,0.09280999167702647,0.024001678073300895,0.19607381823853665,0.05517542342246573,0.02201278461781371,0.03322460629267576,0.009503903732305504
24.79591836734694,6.111771333748113,15.896965949062626,5.919500871290235,15.742383773231499,0.5315289531194871,7.919999494258347,0.12562833648105579,0.09562797404387202,0.02224145735243774,-0.10657171078628558,0.05647804118845734,0.022836049049283505,0.03248085719361837,0.009819489732805255
25.20408163265306,6.414747559640386,16.981895957736736,6.217704026405257,16.81039325237346,0.4945312212288609,7.962518206699588,0.12748678669534722,0.09844523198342259,0.02063416477650744,-0.38832013915835173,0.05751888471453803,0.023831700433416023,0.03169072255583849,0.010202182827523104
25.612244897959183,6.710260454187834,18.08900412404336,6.5093142588626165,17.89819457695834,0.45007566615459416,7.994964925328732,0.12885944976029978,0.10125432384129923,0.019164462998221832,-0.6499646030770583,0.05829860678994159,0.025016475511356107,0.030870562909391497,0.010660826502057522
