Temperature,AdultLifespan
13.0,4.093228641914266
13.512820512820513,9.710257247799746
14.025641025641026,16.64176780505386
14.538461538461538,24.54566293215612
15.051282051282051,33.111688757247066
15.564102564102564,42.060242576560995
16.076923076923077,51.141180512870505
16.58974358974359,60.13262517391149
17.102564102564102,68.83977331081314
17.615384615384613,77.09370347655204
18.128205128205128,84.75018368435713
18.641025641025642,91.68847906617066
19.153846153846153,97.81015953106453
19.666666666666664,103.03790742368346
20.17948717948718,107.31432518267366
20.692307692307693,110.60074299912458
21.205128205128204,112.87602647499489
21.717948717948715,114.13538428154652
22.23076923076923,114.38917581778651
22.743589743589745,113.6617188688947
23.256410256410255,111.99009726465465
23.769230769230766,109.42296853790276
24.28205128205128,106.01937158295232
24.794871794871796,101.84753431400804
25.307692307692307,96.98368132364021
25.820512820512818,91.51084154119553
26.333333333333332,85.51765589121806
26.846153846153847,79.09718495191782
27.358974358974358,72.34571661357631
27.87179487179487,65.36157373698961
28.384615384615383,58.24392181191479
28.897435897435898,51.09157661547306
29.41025641025641,44.00181187061207
29.92307692307692,37.069166904534086
30.435897435897434,30.384254307140054
30.94871794871795,24.032567589414157
31.46153846153846,18.093288841923822
31.97435897435897,12.63809639322426
32.48717948717949,7.729972468266624
33.0,3.4220108468862236
